current_wrestling_style,weight_class,ranking,full_name,url
Freestyle,57 kg,2,Rei Higuchi,https://uww.org/athletes-results/higuchi-rei-9100-profile
Freestyle,57 kg,1,Stevan Andria Micic,https://uww.org/athletes-results/micic-stevan-andria-15077-profile
Freestyle,57 kg,3,Arsen Harutyunyan,https://uww.org/athletes-results/harutyunyan-arsen-8820-profile
Freestyle,57 kg,4,Meirambek KARTBAY,https://uww.org/athletes-results/kartbay-meirambek-11056-profile
Freestyle,57 kg,5,Zelimkhan ABAKAROV,https://uww.org/athletes-results/abakarov-zelimkhan-26965-profile
Freestyle,57 kg,6,Aman AMAN,https://uww.org/athletes-results/aman-aman-1447-profile
Freestyle,57 kg,7,Zavur UGUEV,https://uww.org/athletes-results/uguev-zavur-26093-profile
Freestyle,57 kg,8,Wanhao ZOU,https://uww.org/athletes-results/zou-wanhao-25552-profile
Freestyle,57 kg,9,Gulomjon ABDULLAEV,https://uww.org/athletes-results/abdullaev-gulomjon-186-profile
Freestyle,57 kg,10,Almaz SMANBEKOV,https://uww.org/athletes-results/smanbekov-almaz-25858-profile
Freestyle,57 kg,11,Roberti DINGASHVILI,https://uww.org/athletes-results/dingashvili-roberti-131637-profile
Freestyle,57 kg,12,Milad Jahangir VALIZADEH,https://uww.org/athletes-results/valizadeh-milad-jahangir-191310-profile
Freestyle,57 kg,13,Gamal Abdelnaser Hanafy MOHAMED,https://uww.org/athletes-results/mohamed-gamal-abdelnaser-hanafy-15357-profile
Freestyle,57 kg,14,Muhammet KARAVUS,https://uww.org/athletes-results/karavus-muhammet-10962-profile
Freestyle,57 kg,15,Niklas STECHELE,https://uww.org/athletes-results/stechele-niklas-21692-profile
Freestyle,57 kg,16,Diamantino IUNA FAFE,https://uww.org/athletes-results/iuna-fafe-diamantino-9936-profile
Freestyle,57 kg,17,Kento YUMIYA,https://uww.org/athletes-results/yumiya-kento-24957-profile
Freestyle,57 kg,18,Islam BAZARGANOV,https://uww.org/athletes-results/bazarganov-islam-3073-profile
Freestyle,57 kg,19,Zanabazar ZANDANBUD,https://uww.org/athletes-results/zandanbud-zanabazar-25106-profile
Freestyle,57 kg,20,Weiyu LI,https://uww.org/athletes-results/li-weiyu-13372-profile
Freestyle,57 kg,21,Udit UDIT,https://uww.org/athletes-results/udit-udit-23441-profile
Freestyle,57 kg,22,Roland TAMBI NFORSONG,https://uww.org/athletes-results/tambi-nforsong-roland-22321-profile
Freestyle,57 kg,23,Enozunimi SIMEON,https://uww.org/athletes-results/simeon-enozunimi-195808-profile
Freestyle,57 kg,24,Aliabbas RZAZADE,https://uww.org/athletes-results/rzazade-aliabbas-27696-profile
Freestyle,57 kg,25,Omar FAYE,https://uww.org/athletes-results/faye-omar-6995-profile
